"GeneID","CoefficientTraining"
"KIF1B",-4.61100381116476e-05
"PDCD4",-4.60863629265796e-05
"CDIPT",-4.60855114568771e-05
"MRS2",-4.60611929278834e-05
"STK4",-4.60569980422786e-05
"LARS2",-4.60048510048733e-05
"RPGR",-4.59963384793631e-05
"GLTSCR1",-4.59425111974866e-05
"PRDX1",-4.58963590843603e-05
"C11orf63",-4.58895378816336e-05
"TIMM8A",-4.58877158234502e-05
"TTC37",-4.58615942861718e-05
"CDC123",-4.58436290824368e-05
"NCAPH",-4.58374314786181e-05
"GLB1L",-4.57883617681309e-05
"UBE2D4",-4.57810215544878e-05
"PRPF4B",-4.57767549808026e-05
"THBS4",-4.5722859163363e-05
"C5orf42",-4.56408366193586e-05
"NPTN",-4.56141584527107e-05
"EFHD2",-4.55225452970827e-05
"SDC4",-4.55183544765733e-05
"DNAJC17",-4.54670308244209e-05
"KLKB1",-4.53868446701808e-05
"SLC38A6",-4.53838211824553e-05
"CEP295",-4.53349845016637e-05
"EMP2",-4.5239173503839e-05
"IDS",-4.52351970691953e-05
"ZC3H14",-4.5180938567055e-05
"ABHD3",-4.51702255419813e-05
"CEP68",-4.51607544785428e-05
"FHL2",-4.51186204901886e-05
"C12orf29",-4.51113548177012e-05
"HTATSF1",-4.50816377200659e-05
"DNAJB6",-4.5067786049378e-05
"SULT1A2",-4.50676707059159e-05
"ALDH1A3",-4.50234894417722e-05
"PFDN5",-4.49744836492761e-05
"HTRA1",-4.49317785707669e-05
"PTCH1",-4.49242548652373e-05
"ARHGAP5",-4.48987945634059e-05
"CCT6B",-4.48685732655669e-05
"TRIM9",-4.480279631253e-05
"PCNP",-4.47997476325142e-05
"FAM172A",-4.47669107821943e-05
"ACTR3",-4.47515553414904e-05
"AQP4",-4.47032973954459e-05
"CPOX",-4.46131394056903e-05
"AP1G1",-4.45946571182085e-05
"CINP",-4.45930570868825e-05
"SNRNP25",-4.45818770021361e-05
"TMBIM1",-4.45281828656292e-05
"SRRD",-4.44690473321768e-05
"GPNMB",-4.43858009283096e-05
"TMEM30A",-4.43355356985902e-05
"GAR1",-4.43301157338751e-05
"LCMT1",-4.43189197002312e-05
"HGF",-4.43174584362056e-05
"USP24",-4.42128869781255e-05
"FBXO3",-4.41850240590051e-05
"TGFB1I1",-4.41809763180742e-05
"PAPPA",-4.41627887171251e-05
"KLRD1",-4.41433756115799e-05
"DNAJA2",-4.41358079334253e-05
"RBM23",-4.41210337692485e-05
"GFI1",-4.41095076300911e-05
"HERC5",-4.41071500557385e-05
"C14orf166",-4.40818112599666e-05
"RBM25",-4.40496089920691e-05
"RPA1",-4.40141338656354e-05
"NBR1",-4.39174298776957e-05
"SRPRA",-4.38995594377131e-05
"CCND1",-4.38766584519065e-05
"PHF20",-4.38553670996472e-05
"DHX57",-4.38486094454277e-05
"GOLGA5",-4.38180145031419e-05
"IL1RL2",-4.37926408994127e-05
"MTSS1",-4.37786448756503e-05
"C11orf58",-4.37648658153574e-05
"KIAA0141",-4.37460979693478e-05
"GLRX2",-4.3724579593643e-05
"PLXNA2",-4.36957701508571e-05
"LRRC14",-4.36715660298949e-05
"CEP135",-4.36649757397476e-05
"N4BP2L2",-4.36395093993523e-05
"PPP3CC",-4.36212193099544e-05
"LAMTOR5",-4.35574640421049e-05
"MSH3",-4.35230612770224e-05
"DCUN1D2",-4.34716002510711e-05
"SUV39H2",-4.34442958954117e-05
"PGAP3",-4.3424038979883e-05
"STXBP1",-4.34134042062499e-05
"SETD6",-4.33281438209211e-05
"SCP2",-4.3310948282308e-05
"SUCLG2",-4.32001151152815e-05
"RYR3",-4.31952571677305e-05
"CAPNS1",-4.3092317196667e-05
"GALC",-4.30661750796185e-05
"SCCPDH",-4.30614416448174e-05
"RPGRIP1L",-4.30353081950339e-05
"HAUS6",-4.2995495850531e-05
"STXBP6",-4.29817120761264e-05
"STX4",-4.29523817860621e-05
"ASAH1",-4.29344999598403e-05
"TRIM68",-4.28982864030344e-05
"MED7",-4.28010430436777e-05
"CRKL",-4.27538680686208e-05
"SGCB",-4.27441751019971e-05
"EPHA3",-4.27197212380413e-05
"CDKL2",-4.26853534924365e-05
"APH1B",-4.26674680677415e-05
"ADAMTSL2",-4.2659620688639e-05
"UNG",-4.26510523303894e-05
"ATP10D",-4.26190845233339e-05
"ZSCAN31",-4.25879728150978e-05
"DGKI",-4.25090607705248e-05
"STOM",-4.24861540871225e-05
"C2orf42",-4.24843304531494e-05
"ACAN",-4.24432485483172e-05
"CLSTN1",-4.23332449998635e-05
"BLVRA",-4.23197854441306e-05
"SLC39A6",-4.23159839395232e-05
"NAA40",-4.22776412995265e-05
"S100A4",-4.21561130366044e-05
"LSM5",-4.20364330587667e-05
"TRIM62",-4.19420135835468e-05
"ATP6V0D1",-4.18210486922478e-05
"SFI1",-4.18192487448605e-05
"CCDC170",-4.17815687193121e-05
"ZCCHC8",-4.17075369160101e-05
"ABHD10",-4.16771495929771e-05
"CLNS1A",-4.16602993781651e-05
"P4HB",-4.16312355779904e-05
"SIAH1",-4.16110353217213e-05
"WLS",-4.15254574646752e-05
"OPA1",-4.1443824222711e-05
"GNB1",-4.14433550107762e-05
"SYT17",-4.13851606366004e-05
"ATIC",-4.13052490634317e-05
"FOXRED2",-4.1305042045898e-05
"CSTA",-4.12840371582476e-05
"NDST1",-4.1248676785448e-05
"ARCN1",-4.1197032365473e-05
"FAP",-4.11792692716833e-05
"F13A1",-4.11649947227322e-05
"MAP4",-4.11503683215878e-05
"DNM1L",-4.11384397071531e-05
"LONRF3",-4.11190406395851e-05
"NANS",-4.10995182994518e-05
"SLC25A17",-4.10481122943435e-05
"COPZ2",-4.10368322912946e-05
